site_code,project_name,CoDyn_Contact,raw_file_name,import_file_name,Get,public,location,notes,Country,Continent,Lat,Long,temp_C,MAP_mm,# plots,plot_size (m2),spatial_extent (m2),dataset_length,time_step,succession,"lifespan (subannual, annual or longer)","trophic_level (consumer, primary)",taxa,ANPP (g/m2),broad_ecosystem_type,system,MAP (hand look up),temp_F_PRISM,MAP_in_PRISM,,,,,
KLUB,BFFert,meghan or kim,,,jennie.mclaren@gmail.com,no,Canada,,Canada,North America,60.749984,-139.499834,-3.83,230,5,25,400,10,1,no,longer,primary,plants,145,woody,terrestrial,230,,,,,,,
KNZ,pplots,meghan or kim,,,Meghan,no,Konza LTER,,USA,North America,39.107181,-96.609229,12.72222222,850.646,6,1,1200,11,1,no,longer,primary,plants,442,herbaceous,terrestrial,835,54.9,33.49,,,,,
SEV,NFert,meghan or kim,,,dataone,,Sevilleta LTER,,USA,North America,34.341743,-106.972557,13.77777778,234.95,10,4,500,11,1,no,longer,primary,plants,75,herbaceous,terrestrial,240,56.8,9.25,,,,,
JSP,JRGCE,meghan or kim,,,Chris Fields,no,Jasper Ridge,do not have permission yet,USA,North America,37.408298,-122.226823,15.33333333,601.218,6,0.8,1280,13,1,no,annual,primary,plants,400,herbaceous,terrestrial,,59.6,23.67,,,,,
SEV,veg,Kim,SEV129_veg.csv,sev5,dataone,,Sevilleta LTER,,USA,North America,34.341743,-106.972557,13.77777778,234.95,30,1,90000,13,1,no,longer,primary,plants,75,herbaceous,terrestrial,240,56.8,9.25,,,,,
LUQ,pasture,meghan,,,dataone (https://pasta.lternet.edu/package/metadata/eml/knb-lter-luq/101/1639550),,Luqillo LTER,,USA,North America,18.321356,-65.819945,22,3256,25,10,250,14,1,yes,longer,primary,plants,1000,woody,terrestrial,3256,,,,,,,
OND,OND_BINVERTS,Sam,OND_BINVERTS.csv,OND_BINVERTS.csv,dataone,,"Lake Oneida, New York",Benthic Invertibrate data,USA,North America,43.19972,-75.907615,8.555555556,1122.172,3,0.125,5000000,14,0.038461538,no,annual,consumer,invertebrates,NA,lake,aquatic,,47.4,44.18,,,,,
SGS,UNUN,meghan,LTER_master_cleanVC,lh_sgs,lauren ecology,,short grass steppe LTER,,USA,North America,40.787039,-104.750827,8.666666667,339.09,20,0.1,900,14,1,no,longer,primary,plants,116,herbaceous,terrestrial,279,47.6,13.35,,,,,
KNZ,grasshopper,,,,syndey paper,yes,Konza LTER,,USA,North America,39.107181,-96.609229,12.72222222,850.646,10,20,40000,15,1,no,annual,consumer,invertebrates,442,herbaceous,terrestrial,835,54.9,33.49,,,,,
KNZ,RaMPs,meghan or kim,,,meghan,no,Konza LTER,,USA,North America,39.107181,-96.609229,12.72222222,850.646,6,4,8000,15,1,no,longer,primary,plants,442,herbaceous,terrestrial,835,54.9,33.49,,,,,
BUX,PQ,meghan or kim,,,http://bccil.group.shef.ac.uk/,yes,"Buxton, UK",,UK,Eurasia,53.262656,-1.914818,8,1300,5,6.25,1500,16,1,no,longer,primary,plants,380,herbaceous,terrestrial,1200,,,,,,,
MISS,PLANTS,Andrew,miss_plants_raw.csv,miss_aquatic_plants_final.csv,http://www.umesc.usgs.gov/ltrmp.html,yes,Lake City MN downstream to Havana IL,,USA,North America,43.267554,-91.064937,8.5,859.36,3,105357302.2,1660000000,16,1,no,annual,primary,plants,NA,river,aquatic,,,,,,,,
WDNR,WIRIVER,Andrew,n/a,wi_river_fish.csv,"John Lyons, john.lyons@wisconsin.gov",no,Wisconsin,,USA,North America,43.256589,-89.736993,8.055555556,842.264,10,8,55000,16,1,no,longer,consumer,fish,NA,river,aquatic,,46.5,33.16,,,,,
KNZ,IRG,meghan or kim,,,scott,??,Konza LTER,,USA,North America,39.107181,-96.609229,12.72222222,850.646,5,10,8000,19,1,no,longer,primary,plants,442,herbaceous,terrestrial,835,54.9,33.49,,,,,
OND,OND_PHYTOS,Sam,OND_PHYTOS.csv,OND_PHYTOS,dataone,,"Oneida Lake, New York",,USA,North America,45.63126,-89.630048,4.722222222,794.258,3,0.11,5000000,19,0.083333333,no,shorter,primary,phytoplankton,NA,lake,aquatic,,40.5,31.27,,,,,
JRN,NPP,meghan,LTER_master_cleanVC,lh_jrn,lauren ecology paper,yes,Jornada LTER,,USA,North America,32.510176,-106.742396,15.83333333,283.21,49,1,1000,20,1,no,longer,primary,plants,100,herbaceous,terrestrial,261,60.5,11.15,,,,,
LUQ,reveg,,,,dataone (https://pasta.lternet.edu/package/metadata/eml/knb-lter-luq/15/614155),,Luqillo LTER,,USA,North America,18.321356,-65.819945,22,3256,6,10,2400,20,1,yes,longer,primary,plants,1000,woody,terrestrial,3256,,,,,,,
AND,postlog,meghan,knb-lter-and.3145.14 .csv,AND_postlog,dataone (doi:10.6073/AA/knb-lter-cwt.4032.4),,Andrews LTER,,USA,North America,44.212485,-122.255262,9.777777778,2025.396,36,150,104000,22,2,yes,longer,primary,plants,500,woody,terrestrial,2170,49.6,79.74,,,,,
CDR,e001,meghan or kim,,,forest isbell,yes,Cedar Creek LTER,,USA,North America,45.402319,-93.199473,6.666666667,795.528,6,0.3,1276,22,1,yes,longer,primary,plants,277,herbaceous,terrestrial,826,44,31.32,,,,,
SEV,grasshopper,,,,dataone,,Sevilleta LTER,,USA,North America,34.341743,-106.972557,13.77777778,234.95,5,500,25000,22,1,no,annual,consumer,invertebrates,75,herbaceous,terrestrial,240,56.8,9.25,,,,,
KBS,T7,meghan or kim,,,dataone (knb-lter-kbs.55.16),,Kellogg LTER,,USA,North America,42.400066,-85.384094,9.444444444,975.106,6,1,19200,23,1,yes,longer,primary,plants,390,herbaceous,terrestrial,1000,49,38.39,,,,,
MISS,FISH,Andrew,miss_fish_raw.csv,miss_fish2.csv,http://www.umesc.usgs.gov/ltrmp.html,yes,Lake City MN downstream to Bellevue IA,,USA,North America,43.835338,-91.242489,8.5,872.79,6,105277906.7,2180000000,23,1,no,longer,consumer,fish,NA,river,aquatic,,,,,,,,
KNZ,00id,meghan,LTER_master_cleanVC,lh_knz,lauren ecology (knb-lter-kbs.55.16),yes,Konza LTER,,USA,North America,39.107181,-96.609229,12.72222222,850.646,20,10,40000,24,1,no,longer,primary,plants,442,herbaceous,terrestrial,835,54.9,33.49,,,,,
LUQ,snails,meghan,,,dataone - knb-lter-luq.107.9996700,,Luqillo LTER,,USA,North America,18.321356,-65.819945,22,3256,40,28.27,160000,24,1,yes,longer,consumer,invertebrates,1000,woody,terrestrial,3256,,,,,,,
KBS,inverts,kim,KBS_T7_inverts,kbs_T7_inverts,dataone,,Kellogg LTER,,USA,North America,42.400066,-85.384094,9.444444444,975.106,6,9135,19200,25,1,yes,annual,consumer,invertebrates,390,herbaceous,terrestrial,1000,49,38.39,,,,,
JSP,control,meghan,LTER_master_cleanVC,lh_jrg,lauren ecology paper,yes,Jasper Ridge,,USA,North America,37.408298,-122.226823,15.33333333,601.218,18,1,1000,29,1,no,annual,primary,plants,400,herbaceous,terrestrial,,59.6,23.67,,,,,
msh,abraham_grid,,,,dataone,,Mount Saint Helens,,USA,North America,46.191456,-122.195261,2.944444444,4289.298,10,250,14400,30,1,yes,longer,primary,plants,NA,woody,terrestrial,,37.3,168.87,,,,,
msh,butte,,,,dataone,,Mount Saint Helens,,USA,North America,46.191456,-122.195261,2.944444444,4289.298,15,250,14400,30,1,yes,longer,primary,plants,NA,woody,terrestrial,,37.3,168.87,,,,,
msh,pine,,,,dataone,,Mount Saint Helens,,USA,North America,46.191456,-122.195261,2.944444444,4289.298,9,250,14400,30,1,yes,longer,primary,plants,NA,woody,terrestrial,,37.3,168.87,,,,,
msh,pine_protected,,,,dataone,,Mount Saint Helens,,USA,North America,46.191456,-122.195261,2.944444444,4289.298,3,250,14400,30,1,yes,longer,primary,plants,NA,woody,terrestrial,,37.3,168.87,,,,,
msh,pumice,,,,dataone,,Mount Saint Helens,,USA,North America,46.191456,-122.195261,2.944444444,4289.298,12,250,14400,30,1,yes,longer,primary,plants,NA,woody,terrestrial,,37.3,168.87,,,,,
msh,toutle,,,,dataone,,Mount Saint Helens,,USA,North America,46.191456,-122.195261,2.944444444,4289.298,10,250,14400,30,1,yes,longer,primary,plants,NA,woody,terrestrial,,37.3,168.87,,,,,
OND,OND_ZOOPS,0,OND_ZOOPS.csv,Oneida_Zoops_Data,dataone,,Wisconsin,,USA,North America,45.63126,-89.630048,4.722222222,794.258,5,0.78,5000000,31,0.055555556,no,subannual,consumer,zooplankton,NA,lake,aquatic,,40.5,31.27,,,,,
NTL,NTL_Fish,Corinna/ Sam,https://github.com/NCEAS/commdyn/blob/master/workflows-and-analysis/diversity_partitioning_script/NTLfishmatrix.csv,NTL_FISH.csv,dataone,,Wisconsin,,USA,North America,46.012194,-89.671938,4.444444444,797.56,11,7057818,1.20E+10,32,1,no,longer,consumer,fish,128,lake,aquatic,648,40,31.4,,,,,
BNZ,Tree,,,,dataone (knb-lter-bnz.174.19),,Alaska,,USA,North America,64.733094,-148.306577,-0.15,269,20,4,3500,34,2,yes,longer,primary,plants,300,woody,terrestrial,269,,,,,,,
BNZ,Understory,,,,dataone (knb-lter-bnz.174.19),,Alaska,,USA,North America,64.733094,-148.306577,-0.15,269,20,1,3500,34,4,yes,longer,primary,plants,300,herbaceous,terrestrial,269,,,,,,,
NTL,zoo,Andrew,ntl_zoo_raw.csv,NTL_zoo.csv,dataone,,Wisconsin,,USA,North America,46.012194,-89.671938,4.44444444,797.56,8,3249857,60000000,34,0.25,no,subannual,consumer,zooplankton,128,lake,aquatic,648,40,31.4,,,,,
HAY,kansas,meghan,LTER_master_cleanVC,lh_hay,lauren ecology paper,yes,"Hays, Kansas",,USA,North America,38.879128,-99.326585,12,580,15-23,1,1000,41,1,no,longer,primary,plants,233,herbaceous,terrestrial,,,,,,,,
CAP,arthropods,Eric Sokol,cap_arthropods_raw.csv,cap_arthropods_wide.csv,CAP data manager,yes,"Phoenix, AZ",,USA,North America,,,,,,,,,0.25,no,annual,consumer,invertebrates,NA,herbaceous,terrestrial,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
